ARMA MEDIO,DEPARTAMENTO,MUNICIPIO,FECHA HECHO,GENERO,AGRUPA EDAD,CODIGO DANE,CANTIDAD
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CHIGORODÓ,15/08/2022,MASCULINO,ADOLESCENTES,05172000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,11/01/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,23/01/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,31/01/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,30/03/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CIUDAD BOLÍVAR,16/02/2022,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,COPACABANA,16/02/2022,MASCULINO,ADULTOS,05212000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,DABEIBA,29/01/2022,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,DABEIBA,08/03/2022,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,DABEIBA,14/05/2022,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL BAGRE,02/01/2022,MASCULINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL BAGRE,16/07/2022,MASCULINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL BAGRE,16/08/2022,FEMENINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL CARMEN DE VIBORAL,24/05/2022,MASCULINO,ADULTOS,05148000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL CARMEN DE VIBORAL,12/06/2022,MASCULINO,ADULTOS,05148000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL SANTUARIO,01/05/2022,MASCULINO,ADULTOS,05697000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ENVIGADO,03/01/2022,MASCULINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ENVIGADO,28/06/2022,MASCULINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ENVIGADO,11/07/2022,MASCULINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ENVIGADO,14/08/2022,MASCULINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,FREDONIA,16/03/2022,MASCULINO,ADULTOS,05282000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,FREDONIA,26/06/2022,MASCULINO,ADULTOS,05282000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,FREDONIA,09/07/2022,MASCULINO,ADULTOS,05282000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,GIRARDOTA,09/05/2022,MASCULINO,ADULTOS,05308000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,GÓMEZ PLATA,01/04/2022,MASCULINO,ADULTOS,05310000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,GÓMEZ PLATA,03/04/2022,MASCULINO,ADULTOS,05310000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,GUATAPÉ,17/01/2022,MASCULINO,ADULTOS,05321000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,HELICONIA,23/03/2022,MASCULINO,ADULTOS,05347000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,HISPANIA,22/02/2022,MASCULINO,ADULTOS,05353000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ITAGUI,01/02/2022,MASCULINO,ADULTOS,05360000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ITAGUI,09/07/2022,MASCULINO,ADULTOS,05360000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ITAGUI,27/08/2022,MASCULINO,ADULTOS,05360000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ITUANGO,20/07/2022,MASCULINO,ADULTOS,05361000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,JERICÓ,08/05/2022,MASCULINO,ADULTOS,05368000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA CEJA,06/02/2022,MASCULINO,ADULTOS,05376000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA CEJA,06/03/2022,MASCULINO,ADULTOS,05376000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA CEJA,01/08/2022,FEMENINO,ADULTOS,05376000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA ESTRELLA,03/03/2022,MASCULINO,ADULTOS,05380000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA ESTRELLA,18/03/2022,MASCULINO,ADULTOS,05380000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA ESTRELLA,22/08/2022,MASCULINO,ADULTOS,05380000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA PINTADA,30/04/2022,MASCULINO,ADULTOS,05390000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA PINTADA,13/06/2022,MASCULINO,ADULTOS,05390000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA UNIÓN,02/01/2022,MASCULINO,ADULTOS,05400000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA UNIÓN,25/01/2022,MASCULINO,ADULTOS,05400000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA UNIÓN,20/03/2022,MASCULINO,ADULTOS,05400000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,LA UNIÓN,08/05/2022,MASCULINO,ADULTOS,05400000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MACEO,19/03/2022,MASCULINO,ADULTOS,05425000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MACEO,24/04/2022,MASCULINO,ADULTOS,05425000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MARINILLA,11/06/2022,MASCULINO,ADULTOS,05440000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MARINILLA,23/07/2022,MASCULINO,ADULTOS,05440000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),01/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),09/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),14/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),15/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),16/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),28/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),29/01/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),03/02/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),12/02/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),16/02/2022,FEMENINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),16/02/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),19/02/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),27/02/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),28/02/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),03/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),04/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),05/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),06/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),10/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),11/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),17/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),20/03/2022,FEMENINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),21/03/2022,MASCULINO,ADULTOS,05001000,3
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),23/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),27/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),28/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),29/03/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),15/04/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),17/04/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),19/04/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),20/04/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),26/04/2022,FEMENINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),28/04/2022,MASCULINO,ADULTOS,05001000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),30/04/2022,FEMENINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),16/05/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),21/05/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),22/05/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),27/05/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),01/06/2022,MASCULINO,ADULTOS,05001000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),06/06/2022,MASCULINO,ADULTOS,05001000,1
