ARMA MEDIO,DEPARTAMENTO,MUNICIPIO,FECHA HECHO,GENERO,AGRUPA EDAD,CODIGO DANE,CANTIDAD
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),2/14/2024,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),4/11/2024,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),6/10/2024,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Abejorral,7/25/2024,MASCULINO,ADULTOS,05002000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amagá,1/2/2024,MASCULINO,ADULTOS,05030000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,3/10/2024,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,8/8/2024,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Angelópolis,1/8/2024,MASCULINO,ADULTOS,05036000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Anorí,3/17/2024,MASCULINO,ADULTOS,05040000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Anza,6/21/2024,MASCULINO,ADULTOS,05044000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Anza,8/18/2024,MASCULINO,ADULTOS,05044000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,1/2/2024,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,1/14/2024,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,1/15/2024,FEMENINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,4/3/2024,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,4/18/2024,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,7/15/2024,FEMENINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,8/3/2024,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,8/14/2024,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Arboletes,2/4/2024,FEMENINO,ADULTOS,05051000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Arboletes,8/19/2024,MASCULINO,ADULTOS,05051000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Barbosa,1/19/2024,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Barbosa,6/8/2024,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Barbosa,6/16/2024,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Barbosa,8/29/2024,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Bello,2/11/2024,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Bello,3/22/2024,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Bello,3/30/2024,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Bello,4/5/2024,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Bello,5/31/2024,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Bello,6/27/2024,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Betania,2/23/2024,MASCULINO,ADULTOS,05091000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Betania,3/14/2024,MASCULINO,ADULTOS,05091000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Betulia,3/5/2024,MASCULINO,ADULTOS,05093000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Betulia,8/24/2024,MASCULINO,ADULTOS,05093000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Cáceres,3/30/2024,MASCULINO,ADULTOS,05120010,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Caldas,2/1/2024,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Caldas,2/6/2024,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Caldas,4/16/2024,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Campamento,5/27/2024,MASCULINO,ADULTOS,05134000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Caramanta,6/6/2024,MASCULINO,ADULTOS,05145000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Carepa,4/29/2024,MASCULINO,ADULTOS,05147000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Carepa,7/8/2024,MASCULINO,ADULTOS,05147000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Carepa,8/18/2024,MASCULINO,ADULTOS,05147000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Caucasia,2/1/2024,MASCULINO,ADULTOS,05154000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Caucasia,2/10/2024,MASCULINO,ADULTOS,05154000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,3/18/2024,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,3/26/2024,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,3/28/2024,MASCULINO,ADULTOS,05101005,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,4/7/2024,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,4/21/2024,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,5/10/2024,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Ciudad Bolívar,7/13/2024,MASCULINO,ADULTOS,05101009,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Concordia,4/17/2024,MASCULINO,ADULTOS,05209000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Copacabana,2/11/2024,MASCULINO,ADULTOS,05212000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Copacabana,3/13/2024,MASCULINO,ADULTOS,05212000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Copacabana,7/2/2024,MASCULINO,ADULTOS,05212000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Dabeiba,5/6/2024,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Don Matías,8/25/2024,MASCULINO,ADULTOS,05237000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Bagre,3/7/2024,FEMENINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Carmen de Viboral,3/23/2024,MASCULINO,ADULTOS,05148000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Carmen de Viboral,7/21/2024,MASCULINO,ADULTOS,05148000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Santuario,4/6/2024,MASCULINO,ADULTOS,05697000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Santuario,4/20/2024,FEMENINO,ADULTOS,05697000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Santuario,5/24/2024,MASCULINO,ADULTOS,05697000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,El Santuario,8/30/2024,MASCULINO,ADULTOS,05697000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Envigado,4/10/2024,FEMENINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Envigado,4/10/2024,MASCULINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Envigado,7/11/2024,MASCULINO,ADULTOS,05266000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Fredonia,6/2/2024,FEMENINO,ADULTOS,05282000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Frontino,1/11/2024,MASCULINO,ADULTOS,05284000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Frontino,5/15/2024,MASCULINO,ADULTOS,05284000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Frontino,6/11/2024,MASCULINO,ADULTOS,05284000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Frontino,7/28/2024,MASCULINO,ADULTOS,05284000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Girardota,1/14/2024,MASCULINO,ADULTOS,05308000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Girardota,2/10/2024,MASCULINO,ADULTOS,05308000,1
