DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,OCAÑA,54498000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
SAN ANDRÉS,SAN ANDRÉS (CT),88001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
NARIÑO,EL ROSARIO,52256000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
MAGDALENA,ZONA BANANERA,47980000,ARMA DE FUEGO,1/1/2019,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
ATLÁNTICO,SOLEDAD,08758000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,YUMBO,76892000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
HUILA,NEIVA (CT),41001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,TULUÁ,76834000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
META,VILLAVICENCIO (CT),50001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADOLESCENTES,1
TOLIMA,IBAGUÉ (CT),73001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
CAUCA,SUÁREZ,19780000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
