DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,3/14/2020,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,10/20/2020,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,12/31/2020,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,7/5/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,8/2/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,2/9/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,5/14/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,11/22/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,1/17/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,3/12/2020,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,5/8/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,6/4/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,8/1/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,11/19/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/11/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/31/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANGOSTURA,05038000,ARMA BLANCA / CORTOPUNZANTE,6/7/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANGOSTURA,05038000,ARMA BLANCA / CORTOPUNZANTE,12/25/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANORÍ,05040000,ARMA BLANCA / CORTOPUNZANTE,3/23/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANZA,05044000,ARMA BLANCA / CORTOPUNZANTE,6/30/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/15/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,9/7/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,10/10/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ARGELIA,05055000,ARMA BLANCA / CORTOPUNZANTE,1/7/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,1/1/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,4/14/2020,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,4/26/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,7/12/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,9/15/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,10/17/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,12/20/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,1/13/2020,FEMENINO,ADULTOS,1
