ARMA MEDIO,DEPARTAMENTO,MUNICIPIO,FECHA HECHO,GENERO,AGRUPA EDAD,CODIGO DANE,CANTIDAD
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),24/03/2023,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),16/04/2023,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),18/05/2023,FEMENINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),30/06/2023,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),19/07/2023,MASCULINO,ADOLESCENTES,91001000,1
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,Leticia (CT),29/08/2023,MASCULINO,ADULTOS,91798000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amagá,01/01/2023,MASCULINO,ADULTOS,05030000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amagá,14/01/2023,MASCULINO,ADULTOS,05030000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amagá,12/06/2023,MASCULINO,ADULTOS,05030000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amagá,10/12/2023,MASCULINO,ADULTOS,05030000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amalfi,27/05/2023,MASCULINO,ADULTOS,05031000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Amalfi,29/05/2023,MASCULINO,ADULTOS,05031000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,08/01/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,12/02/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,30/03/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,16/06/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,09/07/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,04/08/2023,MASCULINO,ADULTOS,05034007,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,25/09/2023,MASCULINO,ADULTOS,05034007,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,01/10/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,05/12/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Andes,28/12/2023,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Angelópolis,25/02/2023,MASCULINO,ADULTOS,05036000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Angelópolis,23/06/2023,MASCULINO,ADULTOS,05036000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Anorí,12/04/2023,FEMENINO,ADULTOS,05040000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Anza,25/12/2023,MASCULINO,ADULTOS,05044000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,01/01/2023,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,15/02/2023,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,02/03/2023,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,04/04/2023,MASCULINO,ADULTOS,05045000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,09/04/2023,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,16/07/2023,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,Apartadó,07/08/2023,MASCULINO,ADULTOS,05045000,1
